"filename", "language", "Python", "JSON", "Markdown", "Groovy", "YAML", "Docker", "Ignore", "Shell Script", "comment", "blank", "total"
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/migration_smoke.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 1, 3, 28
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/rarity_odds.py", "Python", 122, 0, 0, 0, 0, 0, 0, 0, 0, 16, 138
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/rebalance_base_values.py", "Python", 123, 0, 0, 0, 0, 0, 0, 0, 2, 29, 154
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_app.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 14, 35
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_cards.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_commands.py", "Python", 675, 0, 0, 0, 0, 0, 0, 0, 2, 161, 838
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_services.py", "Python", 183, 0, 0, 0, 0, 0, 0, 0, 0, 39, 222
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_storage.py", "Python", 287, 0, 0, 0, 0, 0, 0, 0, 0, 69, 356
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_views.py", "Python", 668, 0, 0, 0, 0, 0, 0, 0, 0, 110, 778
"Total", "-", 6809, 2517, 344, 40, 79, 15, 9, 16, 296, 1214, 11339
