"filename", "language", "Python", "JSON", "Markdown", "Groovy", "YAML", "pip requirements", "Docker", "Ignore", "Shell Script", "comment", "blank", "total"
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/services.py", "Python", 855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 966
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/settings.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 30
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/storage.py", "Python", 571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 737
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/utils.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/views.py", "Python", 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 2048
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/cache_card_images.py", "Python", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 116
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/cache_card_images_from_backup.py", "Python", 278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 335
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/ensure_distinct_card_images.py", "Python", 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 294
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/export_card_image_url_backup.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 48
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/generation_economy_report.py", "Python", 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 229
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/migration_smoke.py", "Python", 104, 0, 0, 0, 0, 0, 0, 0, 0, 19, 27, 150
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/pull_card_images.py", "Python", 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 249
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/rarity_odds.py", "Python", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 174
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/rebalance_base_values.py", "Python", 123, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29, 154
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_app.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 35
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_cards.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_commands.py", "Python", 1174, 0, 0, 0, 0, 0, 0, 0, 0, 2, 302, 1478
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_services.py", "Python", 365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 454
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_sqlite_guardrails.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 36
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_storage.py", "Python", 598, 0, 0, 0, 0, 0, 0, 0, 0, 40, 148, 786
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_views.py", "Python", 841, 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 1008
"Total", "-", 11314, 3194, 999, 40, 79, 2, 15, 9, 16, 711, 2402, 18781
