"filename", "language", "Python", "Markdown", "JSON", "comment", "blank", "total"
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/AGENTS.md", "Markdown", 0, 5, 0, 0, 0, 5
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/README.md", "Markdown", 0, 9, 0, 0, 2, 11
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/assets/card_images/manifest.json", "JSON", 0, 0, 263, 0, 0, 263
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/card_image_pull_report_desserts.json", "JSON", 0, 0, 371, 0, 0, 371
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/architecture.md", "Markdown", 0, 2, 0, 0, 0, 2
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/commands-and-ux.md", "Markdown", 0, 12, 0, 0, 2, 14
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/data-model.md", "Markdown", 0, 17, 0, 0, 4, 21
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/development-runbook.md", "Markdown", 0, 7, 0, 0, 0, 7
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/app.py", "Python", 24, 0, 0, 0, 8, 32
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/cards.py", "Python", 345, 0, 0, 0, 8, 353
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/commands.py", "Python", 108, 0, 0, 0, 29, 137
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/migrations.py", "Python", 154, 0, 0, 201, 41, 396
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/presentation.py", "Python", -1, 0, 0, 0, 1, 0
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/repositories.py", "Python", 281, 0, 0, 155, 54, 490
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/settings.py", "Python", -1, 0, 0, 0, 0, -1
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/storage.py", "Python", -255, 0, 0, -282, -45, -582
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/utils.py", "Python", -7, 0, 0, 0, 0, -7
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/views.py", "Python", 99, 0, 0, 0, -1, 98
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/cache_card_images.py", "Python", 32, 0, 0, 0, 4, 36
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/migration_smoke.py", "Python", 2, 0, 0, 0, 0, 2
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/pull_card_images.py", "Python", 17, 0, 0, 0, 1, 18
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_commands.py", "Python", 290, 0, 0, 0, 85, 375
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_sqlite_guardrails.py", "Python", 26, 0, 0, 0, 10, 36
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_storage.py", "Python", 22, 0, 0, 22, 6, 50
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_views.py", "Python", 22, 0, 0, 0, 6, 28
"Total", "-", 1158, 52, 634, 96, 215, 2155
